distinct_id;conversationid;app_versionconsta;conversationindexconsta;conversationstartedatconsta;valueabonbvoi;datelocaltimeyoufirsta;frequencysubcon;path_mood_tracking;path_journaling;path_mindfulness;path_acceptance;path_n;path_thoughts;path_self_compassion;path_thinking_traps;path_goals;path_thought_category;path_mood_after;hours_since_start;num_convo;hours_since_last
;;;;;;;;;;;;;;;;;;;;;
F6CEA496-2615-4991-9D34-8D19E8E10A4F;nigccUvy36JT4ARX6uTlifmtBoJ9gabf;7.01.002;0;01/11/2019 17:42;1.0;01/11/2019 17:41;;0;0;0;0;1;0;0;0;0;0;0;0;2;0
F6CEA496-2615-4991-9D34-8D19E8E10A4F;lneHt4Zvfy3HcdUwlp7NTctrWlJ9tjoW;7.01.002;1;01/11/2019 17:51;;01/11/2019 17:41;;1;0;0;0;0;0;0;0;0;0;0;0;2;0
CD44A5DC-F6B9-4336-9014-B72189C8FAED;SsMb5YDgRFsKyls7SQg3YdZsOvXid7mx;7.01.002;0;01/11/2019 17:52;2.0;01/11/2019 17:51;;1;1;0;0;0;0;0;1;1;1;1;0;2;0
CD44A5DC-F6B9-4336-9014-B72189C8FAED;0V3QBl2i4ftht9d6SQkXYkXjKzo9UP6J;7.01.002;1;01/11/2019 17:54;;01/11/2019 17:51;;0;0;0;0;1;0;0;0;0;0;0;0;2;0
F2743180-94B4-4DF0-8EB1-EE3ACB089FC8;vISvgqOIowcQn54xDyfIFrswYYr9Tonz;7.01.002;0;04/11/2019 08:39;1.0;01/11/2019 17:58;;0;0;0;0;1;0;0;0;0;0;0;62;1;0
424DD90C-2418-41CC-9266-23A0501516AE;uLC6PzzAZFgdsmaWuPOHFiZiXMJsLuaa;7.01.002;0;01/11/2019 18:01;1.0;01/11/2019 18:01;;1;1;0;0;0;1;0;0;1;1;1;0;4;0
424DD90C-2418-41CC-9266-23A0501516AE;j8YZn2qVIT8mH55u4TX7cpmABy4gDmtQ;7.01.002;1;01/11/2019 18:03;;01/11/2019 18:01;;0;0;0;0;1;0;0;0;0;0;0;0;4;0
424DD90C-2418-41CC-9266-23A0501516AE;FUuLVlZ2bATw6CUA6mqO3yGn1QGtTm5o;7.01.002;2;04/11/2019 12:39;;01/11/2019 18:01;;1;0;0;0;0;0;0;0;1;0;0;66;4;66
424DD90C-2418-41CC-9266-23A0501516AE;IBU8tXcp9ylUxCCeR16L8op9QdU4ZLg1;7.01.002;3;04/11/2019 12:58;;01/11/2019 18:01;;1;0;0;0;0;0;0;0;0;0;0;66;4;0
4205F044-BFAF-4246-9CCD-75C10EEE30F0;3CMJew4PIId08ZAtPhJrIwW2xCsqy0Rl;7.01.002;0;04/11/2019 08:47;1.0;04/11/2019 08:45;;1;1;0;0;0;0;0;1;1;1;1;0;1;0
518324F1-8C77-4440-A2E8-13501D8D9630;QaZ4LBIeF5ODq05a7bslY8nnQ2TMDE5e;7.01.002;0;04/11/2019 09:00;1.0;04/11/2019 08:57;;1;1;0;0;0;0;0;1;1;1;1;0;2;0
518324F1-8C77-4440-A2E8-13501D8D9630;04dXfEWR36eHFc1h9oSgwo4UHSeY9mda;7.01.002;1;04/11/2019 12:36;;04/11/2019 08:57;;1;1;0;0;0;1;1;0;0;1;1;3;2;3
E982BEDC-DFF5-4537-851A-847C9D5D9C6D;3sbs5PZNXZiUNGb3USyS8As6boxnzpXX;7.01.002;0;04/11/2019 13:33;2.0;04/11/2019 13:33;yearly;1;1;0;0;0;0;0;1;1;1;1;0;4;0
E982BEDC-DFF5-4537-851A-847C9D5D9C6D;ShwIdTk4K7Sov8iqQbcRoibJgSRthoYO;7.01.002;1;04/11/2019 13:41;;04/11/2019 13:33;;0;0;1;0;0;0;0;0;0;0;0;0;4;0
E982BEDC-DFF5-4537-851A-847C9D5D9C6D;FTIpj4Ug8aXXEMn8cBvFnvyk9sFObdFt;7.01.002;2;04/11/2019 13:41;;04/11/2019 13:33;;1;1;0;0;0;0;0;0;0;1;1;0;4;0
E982BEDC-DFF5-4537-851A-847C9D5D9C6D;xxGk0gZHptrXP3BQ7nvHX8oKkIopL7zZ;7.01.002;3;04/11/2019 13:42;;04/11/2019 13:33;;1;1;0;1;0;1;0;1;0;1;1;0;4;0
